id,title,cons,unit,text,inputType,disp01,disp02,disp03,disp04,disp05,disp06,disp07,disp08,disp09,disp10,disp11,disp12,disp13,disp14,disp15,disp16,val01,val02,val03,val04,val05,val06,val07,val08,val09,val10,val11,val12,val13,val14,val15,val16
i403,洗濯の頻度,consDRsum,,洗濯機の使い方はどうですか,sel403,選んで下さい,毎日何回も洗濯機を回す,毎日2回程度洗濯機を回す,毎日1回洗濯機を回す,汚れ物がたまったら洗濯機を回す,わからない,,,,,,,,,,,-1,4,2,1,0.5,1,,,,,,,,,,
i411,掃除機の強弱,consDRsum,,掃除機の強弱の設定はどうしていますか,sel411,選んで下さい,ほとんど強で使っている,場所により使い分けている,基本、弱で使っている,設定がない,わからない,,,,,,,,,,,-1,1,2,3,4,5,6,,,,,,,,,
i412,掃除機利用,consDRsum,分/日,掃除機を１日にどの程度使いますか,sel412,選んで下さい,ほとんど使わない,5分,10分,15分,30分,1時間,ロボット掃除機を使用,わからない,,,,,,,,-1,0,5,10,15,30,60,11,12,,,,,,,
i501,リビングの照明,consLIsum,W,リビングの照明器具には、主に何を使っていますか。,sel501,選んで下さい,白熱電球,蛍光灯,LED,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i502,不在部屋の照明,consLIsum,,人がいない部屋の照明は消していますか,sel502,選んで下さい,全てつける,つけっぱなしの場所もある,ほとんど消している,消している,,,,,,,,,,,,-1,10,6,2,0,,,,,,,,,,,
i511,照明の場所,consLI,,照明を使っている場所はどこですか,sel511,選んで下さい,玄関,門灯,廊下,トイレ,脱衣所,風呂,居室,,,,,,,,,-1,1,2,3,4,5,6,7,8,9,10,,,,,
i512,照明の種類,consLI,,使っている照明の種類は何ですか,sel512,選んで下さい,白熱電球,電球形蛍光灯,蛍光灯,細管蛍光灯,LED,センサー式ライト,,,,,,,,,,-1,1,2,3,4,5,6,,,,,,,,,
i513,1球（本）の消費電力,consLI,W,1球（もしくは1本）の消費電力はどれだけですか（電球なら40～60W、直管蛍光灯なら15～40W、環形蛍光灯なら30～40W程度です）,sel513,選んで下さい,5W,10W,15W,20W,30W,40W,60W,80W,100W,,,,,,,-1,5,10,15,20,30,40,60,80,100,,,,,,
i514,球数・本数,consLI,球・本,器具に複数の球がある場合、何球・何本ありますか,sel514,選んで下さい,1球・本,2球・本,3球・本,4球・本,6球・本,8球・本,10球・本,,,,,,,,,-1,1,2,3,4,6,8,10,,,,,,,,
i515,照明の使用時間,consLI,時間/日,1日に何時間使いますか,sel515,選んで下さい,使わない,1時間,2時間,3時間,4時間,6時間,8時間,12時間,16時間,24時間,,,,,,-1,0,1,2,3,4,6,8,12,16,24,,,,,
i601,テレビの時間,consTVsum,時間,家にある全てのテレビの合計で、１日に何時間点けていますか。テレビゲームの時間も含めて下さい。,sel601,選んで下さい,使わない,2時間,4時間,6時間,8時間,12時間,16時間,24時間,32時間,40時間,,,,,,-1,0,2,4,6,8,12,16,24,32,40,,,,,
i631,テレビのサイズ,consTV,インチ,テレビのサイズ,sel631,選んで下さい,持っていない,20インチ未満,20～30インチ,30～40インチ,40～50インチ,50～65インチ,65インチ以上,,,,,,,,,-1,0,18,25,35,45,60,70,,,,,,,,
i632,テレビの使用年数,consTV,年,テレビの使用年数,sel632,選んで下さい,持っていない,1年未満,3年未満,5年未満,7年未満,10年未満,15年未満,20年未満,20年以上,,,,,,,-1,0,1,2,4,6,9,13,18,25,,,,,,
i633,テレビの時間,consTV,年,テレビの時間,sel633,選んで下さい,使わない,2時間,4時間,6時間,8時間,12時間,16時間,24時間,,,,,,,,-1,0,2,4,6,8,12,16,24,,,,,,,
i701,冷蔵庫の台数,consRFsum,台,冷蔵庫を何台使っていますか。ストッカー（冷凍庫）も1台と数えて下さい。,sel701,選んで下さい,持っていない,1台,2台,3台,4台,5台,,,,,,,,,,-1,0,1,2,3,4,5,,,,,,,,,
i711,冷蔵庫の使用年数,consRF,年,冷蔵庫の使用年数,sel711,選んで下さい,持っていない,1年未満,3年未満,5年未満,7年未満,10年未満,15年未満,20年未満,20年以上,,,,,,,-1,0,1,2,4,6,8,12,17,25,,,,,,
i712,冷蔵庫の種類,consRF,,冷蔵庫の種類,sel712,選んで下さい,冷凍冷蔵庫,冷凍庫（ストッカー）,,,,,,,,,,,,,,-1,1,2,,,,,,,,,,,,,
i713,定格内容量,consRF,,定格内容量,sel713,選んで下さい,100L未満,101-200リットル,201-300リットル,301-400リットル,401-500リットル,501リットル以上,,,,,,,,,,-1,80,150,250,350,450,550,,,,,,,,,
i714,冷蔵庫温度設定,consRF,,温度設定はどうしていますか,sel714,選んで下さい,強,中,弱,わからない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i715,中身のつめすぎ,consRF,,つめすぎないように心がけていますか,sel715,選んで下さい,気をつけている,あまりできていない,できていない,わからない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i716,壁からすきまを開けた設置,consRF,,側面・裏面に5cm程度のすきまをあけていますか,sel716,選んで下さい,できている,できていない,わからない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i801,コンロの熱源,consCKcook,,コンロの熱源は,sel801,選んで下さい,ガス,電気(IHなど）,わからない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
